[2025-08-11T08:25:21.219076] Balance: $614.10 | Open trades: 3 | Unrealized PnL: $0.00
[2025-08-11T08:43:23.639738] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T08:43:56.794325] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T08:44:29.937629] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T08:45:03.141248] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T08:45:36.325521] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T08:46:09.499810] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T08:46:42.743610] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T08:47:16.122133] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T08:47:49.314877] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T08:48:22.749142] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T08:48:55.953718] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T08:49:29.126838] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T08:50:02.281038] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T08:50:35.491294] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T08:51:08.714914] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T08:51:41.906168] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T08:52:15.138257] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T08:52:48.628754] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T08:53:22.042597] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T08:53:55.244523] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T08:54:28.619387] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T08:55:01.790135] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T08:55:35.176145] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T08:56:08.455565] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T08:56:41.644387] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T08:57:14.853806] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T08:57:48.055512] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T08:58:21.261051] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T08:58:54.837089] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T08:59:28.107819] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T09:00:01.584077] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T09:00:34.913783] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T09:01:08.204377] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T09:01:41.527442] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T09:02:15.068732] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T09:02:48.600437] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T09:03:21.899819] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T09:03:55.202324] Balance: $848.09 | Open trades: 1 | Unrealized PnL: $0.47
[2025-08-11T09:04:28.721876] Balance: $720.88 | Open trades: 2 | Unrealized PnL: $0.47
[2025-08-11T09:05:02.005678] Balance: $720.88 | Open trades: 2 | Unrealized PnL: $0.47
[2025-08-11T09:05:35.295641] Balance: $720.88 | Open trades: 2 | Unrealized PnL: $0.47
[2025-08-11T09:06:08.844974] Balance: $720.88 | Open trades: 2 | Unrealized PnL: $0.47
[2025-08-11T09:06:42.160995] Balance: $720.88 | Open trades: 2 | Unrealized PnL: $0.47
[2025-08-11T09:07:15.633605] Balance: $720.88 | Open trades: 2 | Unrealized PnL: $0.47
[2025-08-11T09:07:48.867170] Balance: $720.88 | Open trades: 2 | Unrealized PnL: $0.47
[2025-08-11T09:08:22.124956] Balance: $720.88 | Open trades: 2 | Unrealized PnL: $0.47
[2025-08-11T09:08:55.353906] Balance: $720.88 | Open trades: 2 | Unrealized PnL: $0.47
[2025-08-11T09:09:28.839287] Balance: $720.88 | Open trades: 2 | Unrealized PnL: $1.31
[2025-08-11T09:10:02.308972] Balance: $720.88 | Open trades: 2 | Unrealized PnL: $1.44
[2025-08-11T09:10:35.564028] Balance: $720.88 | Open trades: 2 | Unrealized PnL: $1.82
[2025-08-11T09:11:08.788331] Balance: $720.88 | Open trades: 2 | Unrealized PnL: $1.82
[2025-08-11T09:11:41.982194] Balance: $720.88 | Open trades: 2 | Unrealized PnL: $1.82
[2025-08-11T09:12:15.148168] Balance: $720.88 | Open trades: 2 | Unrealized PnL: $1.82
[2025-08-11T09:12:48.390705] Balance: $720.88 | Open trades: 2 | Unrealized PnL: $1.82
[2025-08-11T09:13:21.571237] Balance: $720.88 | Open trades: 2 | Unrealized PnL: $1.82
[2025-08-11T09:13:54.812161] Balance: $720.88 | Open trades: 2 | Unrealized PnL: $0.64
[2025-08-11T09:14:27.983459] Balance: $720.88 | Open trades: 2 | Unrealized PnL: $0.64
[2025-08-11T09:15:01.196035] Balance: $612.75 | Open trades: 3 | Unrealized PnL: $0.64
[2025-08-11T09:15:34.415570] Balance: $612.75 | Open trades: 3 | Unrealized PnL: $0.72
[2025-08-11T09:16:07.627354] Balance: $612.75 | Open trades: 3 | Unrealized PnL: $0.72
[2025-08-11T09:16:40.823102] Balance: $612.75 | Open trades: 3 | Unrealized PnL: $0.48
[2025-08-11T09:17:13.977599] Balance: $612.75 | Open trades: 3 | Unrealized PnL: $0.45
[2025-08-11T09:17:47.166045] Balance: $612.75 | Open trades: 3 | Unrealized PnL: $0.45
[2025-08-11T09:18:20.404803] Balance: $612.75 | Open trades: 3 | Unrealized PnL: $0.38
[2025-08-11T09:18:53.882366] Balance: $612.75 | Open trades: 3 | Unrealized PnL: $0.09
[2025-08-11T09:19:27.127879] Balance: $612.75 | Open trades: 3 | Unrealized PnL: $0.09
[2025-08-11T09:20:00.601479] Balance: $612.75 | Open trades: 3 | Unrealized PnL: $0.09
[2025-08-11T09:20:34.048746] Balance: $612.75 | Open trades: 3 | Unrealized PnL: $-0.13
[2025-08-11T09:21:07.291376] Balance: $612.75 | Open trades: 3 | Unrealized PnL: $-0.28
[2025-08-11T09:21:40.590076] Balance: $612.75 | Open trades: 3 | Unrealized PnL: $-0.48
[2025-08-11T09:22:14.126601] Balance: $612.75 | Open trades: 3 | Unrealized PnL: $-0.48
[2025-08-11T09:22:47.437165] Balance: $612.75 | Open trades: 3 | Unrealized PnL: $-0.63
[2025-08-11T09:23:21.039340] Balance: $612.75 | Open trades: 3 | Unrealized PnL: $-0.53
[2025-08-11T09:23:54.338596] Balance: $612.75 | Open trades: 3 | Unrealized PnL: $-0.53
[2025-08-11T09:24:27.634460] Balance: $612.75 | Open trades: 3 | Unrealized PnL: $-0.46
[2025-08-11T09:25:01.160390] Balance: $739.96 | Open trades: 2 | Unrealized PnL: $-1.70
[2025-08-11T09:25:34.443289] Balance: $739.96 | Open trades: 2 | Unrealized PnL: $-1.70
[2025-08-11T09:26:07.973743] Balance: $739.96 | Open trades: 2 | Unrealized PnL: $-1.70
[2025-08-11T09:26:41.484049] Balance: $739.96 | Open trades: 2 | Unrealized PnL: $-1.55
[2025-08-11T09:27:14.776191] Balance: $739.96 | Open trades: 2 | Unrealized PnL: $-2.06
[2025-08-11T09:27:48.312766] Balance: $739.96 | Open trades: 2 | Unrealized PnL: $-2.06
[2025-08-11T09:28:21.610142] Balance: $739.96 | Open trades: 2 | Unrealized PnL: $-2.06
[2025-08-11T09:28:54.909799] Balance: $739.96 | Open trades: 2 | Unrealized PnL: $-2.06
[2025-08-11T09:29:28.317576] Balance: $739.96 | Open trades: 2 | Unrealized PnL: $-2.06
[2025-08-11T09:30:01.844623] Balance: $739.96 | Open trades: 2 | Unrealized PnL: $-1.55
[2025-08-11T09:30:35.166379] Balance: $739.96 | Open trades: 2 | Unrealized PnL: $-1.55
[2025-08-11T09:31:08.529273] Balance: $739.96 | Open trades: 2 | Unrealized PnL: $-1.70
[2025-08-11T09:31:41.844525] Balance: $739.96 | Open trades: 2 | Unrealized PnL: $-1.84
[2025-08-11T09:32:15.307685] Balance: $739.96 | Open trades: 2 | Unrealized PnL: $-1.77
[2025-08-11T09:32:48.763274] Balance: $739.96 | Open trades: 2 | Unrealized PnL: $-1.51
[2025-08-11T09:33:21.999195] Balance: $847.00 | Open trades: 1 | Unrealized PnL: $-1.02
[2025-08-11T09:33:55.476948] Balance: $847.00 | Open trades: 1 | Unrealized PnL: $-1.04
[2025-08-11T09:34:28.792548] Balance: $847.00 | Open trades: 1 | Unrealized PnL: $-1.17
[2025-08-11T09:35:02.087669] Balance: $847.00 | Open trades: 1 | Unrealized PnL: $-1.17
[2025-08-11T09:35:35.567184] Balance: $847.00 | Open trades: 1 | Unrealized PnL: $-1.17
[2025-08-11T09:36:09.049125] Balance: $847.00 | Open trades: 1 | Unrealized PnL: $-1.17
[2025-08-11T09:36:42.329477] Balance: $847.00 | Open trades: 1 | Unrealized PnL: $-1.17
[2025-08-11T09:37:15.841192] Balance: $847.00 | Open trades: 1 | Unrealized PnL: $-1.17
[2025-08-11T09:37:49.109865] Balance: $847.00 | Open trades: 1 | Unrealized PnL: $-1.17
[2025-08-11T09:38:22.399534] Balance: $847.00 | Open trades: 1 | Unrealized PnL: $-1.17
[2025-08-11T09:38:55.704982] Balance: $847.00 | Open trades: 1 | Unrealized PnL: $-1.17
[2025-08-11T09:39:28.950193] Balance: $847.00 | Open trades: 1 | Unrealized PnL: $-1.17
[2025-08-11T09:40:02.487540] Balance: $847.00 | Open trades: 1 | Unrealized PnL: $-1.17
[2025-08-11T09:40:35.982320] Balance: $847.00 | Open trades: 1 | Unrealized PnL: $-1.17
[2025-08-11T09:41:09.300564] Balance: $847.00 | Open trades: 1 | Unrealized PnL: $-1.17
[2025-08-11T09:41:42.839864] Balance: $847.00 | Open trades: 1 | Unrealized PnL: $-1.17
[2025-08-11T09:42:16.363049] Balance: $847.00 | Open trades: 1 | Unrealized PnL: $-1.17
[2025-08-11T09:42:49.636487] Balance: $847.00 | Open trades: 1 | Unrealized PnL: $-1.17
[2025-08-11T09:43:23.179909] Balance: $847.00 | Open trades: 1 | Unrealized PnL: $-1.17
[2025-08-11T09:43:56.461691] Balance: $847.00 | Open trades: 1 | Unrealized PnL: $-1.17
[2025-08-11T09:44:29.936272] Balance: $847.00 | Open trades: 1 | Unrealized PnL: $-1.17
[2025-08-11T09:45:03.209396] Balance: $847.00 | Open trades: 1 | Unrealized PnL: $-1.17
[2025-08-11T09:45:36.498378] Balance: $847.00 | Open trades: 1 | Unrealized PnL: $-1.02
[2025-08-11T09:46:10.028259] Balance: $847.00 | Open trades: 1 | Unrealized PnL: $-1.02
[2025-08-11T09:46:43.338784] Balance: $847.00 | Open trades: 1 | Unrealized PnL: $-1.02
[2025-08-11T09:47:16.643779] Balance: $847.00 | Open trades: 1 | Unrealized PnL: $-1.02
[2025-08-11T09:47:49.927089] Balance: $847.00 | Open trades: 1 | Unrealized PnL: $-1.02
[2025-08-11T09:48:23.211125] Balance: $847.00 | Open trades: 1 | Unrealized PnL: $-1.02
[2025-08-11T09:48:56.727620] Balance: $847.00 | Open trades: 1 | Unrealized PnL: $-1.24
[2025-08-11T09:49:30.064933] Balance: $847.00 | Open trades: 1 | Unrealized PnL: $-1.24
[2025-08-11T09:50:03.641041] Balance: $847.00 | Open trades: 1 | Unrealized PnL: $-1.24
[2025-08-11T09:50:36.950885] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T09:51:10.248390] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T09:51:43.832230] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T09:52:17.176412] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T09:52:50.646598] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T09:53:23.952502] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T09:53:57.271494] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T09:54:30.554060] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T09:55:03.808943] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T09:55:37.098933] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T09:56:10.576013] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T09:56:43.784170] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T09:57:17.070225] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T09:57:50.388458] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T09:58:23.896324] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T09:58:57.431209] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T09:59:30.732023] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:00:04.159225] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:00:37.462961] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:01:10.608025] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:01:43.825274] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:02:17.088285] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:02:50.523467] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:03:23.958763] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:03:57.128223] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:04:30.391413] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:05:03.880598] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:05:37.150903] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:06:10.424759] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:06:43.697919] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:07:16.968696] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:07:50.416546] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:08:23.631096] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:08:56.815696] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:09:30.082191] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:10:03.378406] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:10:36.791219] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:11:10.008280] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:11:43.245068] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:12:16.447357] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:12:49.756596] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:13:22.985893] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:13:56.187544] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:14:29.522032] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:15:03.005397] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:15:36.208077] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:16:09.391377] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:16:42.660584] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:17:15.892028] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:17:49.131127] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:18:22.593903] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:18:55.826009] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:19:29.005540] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:20:02.271643] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:20:35.512344] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:21:08.706664] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:21:41.917175] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:22:15.109061] Balance: $995.45 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:22:48.327068] Balance: $846.13 | Open trades: 1 | Unrealized PnL: $0.00
[2025-08-11T10:23:21.536369] Balance: $846.13 | Open trades: 1 | Unrealized PnL: $-1.01
[2025-08-11T10:23:54.724308] Balance: $846.13 | Open trades: 1 | Unrealized PnL: $-0.95
[2025-08-11T10:24:27.901225] Balance: $846.13 | Open trades: 1 | Unrealized PnL: $-0.95
[2025-08-11T10:25:01.081355] Balance: $846.13 | Open trades: 1 | Unrealized PnL: $-0.77
[2025-08-11T10:25:34.341772] Balance: $719.21 | Open trades: 2 | Unrealized PnL: $-0.77
[2025-08-11T10:26:07.607077] Balance: $719.21 | Open trades: 2 | Unrealized PnL: $-1.12
[2025-08-11T10:26:40.819667] Balance: $719.21 | Open trades: 2 | Unrealized PnL: $-1.47
[2025-08-11T10:27:14.177679] Balance: $866.27 | Open trades: 1 | Unrealized PnL: $-0.34
[2025-08-11T10:27:47.382887] Balance: $866.27 | Open trades: 1 | Unrealized PnL: $-0.82
[2025-08-11T10:28:20.627651] Balance: $866.27 | Open trades: 1 | Unrealized PnL: $-0.45
[2025-08-11T10:28:53.843514] Balance: $866.27 | Open trades: 1 | Unrealized PnL: $-0.31
[2025-08-11T10:29:27.090722] Balance: $866.27 | Open trades: 1 | Unrealized PnL: $-0.86
[2025-08-11T10:30:00.328324] Balance: $866.27 | Open trades: 1 | Unrealized PnL: $-1.17
[2025-08-11T10:30:33.547397] Balance: $866.27 | Open trades: 1 | Unrealized PnL: $-0.86
[2025-08-11T10:31:06.735269] Balance: $866.27 | Open trades: 1 | Unrealized PnL: $-1.20
[2025-08-11T10:31:39.909720] Balance: $866.27 | Open trades: 1 | Unrealized PnL: $-0.93
[2025-08-11T10:32:13.101491] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:32:46.308391] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:33:19.505826] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:33:52.722365] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:34:25.907274] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:34:59.113474] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:35:32.309196] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:36:05.506574] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:36:38.656992] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:37:11.828913] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:37:45.084728] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:38:18.275736] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:38:51.478221] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:39:24.701286] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:39:57.923217] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:40:31.141117] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:41:04.426500] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:41:37.696446] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:42:10.968013] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:42:44.207050] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:43:17.449485] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:43:50.690336] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:44:23.913196] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:45:07.603344] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:45:40.821495] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:46:14.024512] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:46:47.355349] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:47:20.580846] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:47:53.762621] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:48:27.002992] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:49:00.293679] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:49:33.525050] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:50:06.758120] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:50:39.965739] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:51:13.199293] Balance: $991.85 | Open trades: 0 | Unrealized PnL: $0.00
[2025-08-11T10:51:46.436865] Balance: $843.07 | Open trades: 1 | Unrealized PnL: $0.00
[2025-08-11T10:52:19.758738] Balance: $843.07 | Open trades: 1 | Unrealized PnL: $0.00
[2025-08-11T10:52:52.991041] Balance: $843.07 | Open trades: 1 | Unrealized PnL: $0.00
[2025-08-11T10:53:26.239293] Balance: $843.07 | Open trades: 1 | Unrealized PnL: $0.00
[2025-08-11T10:53:59.408181] Balance: $843.07 | Open trades: 1 | Unrealized PnL: $0.00
[2025-08-11T10:54:32.631256] Balance: $843.07 | Open trades: 1 | Unrealized PnL: $0.22
[2025-08-11T10:55:05.880365] Balance: $843.07 | Open trades: 1 | Unrealized PnL: $0.22
[2025-08-11T10:55:39.116145] Balance: $843.07 | Open trades: 1 | Unrealized PnL: $0.22
[2025-08-11T10:56:12.301905] Balance: $843.07 | Open trades: 1 | Unrealized PnL: $0.22
[2025-08-11T10:56:45.481260] Balance: $843.07 | Open trades: 1 | Unrealized PnL: $0.22
[2025-08-11T10:57:18.733752] Balance: $716.61 | Open trades: 2 | Unrealized PnL: $0.22
[2025-08-11T10:57:51.970887] Balance: $716.61 | Open trades: 2 | Unrealized PnL: $0.22
[2025-08-11T10:58:25.203983] Balance: $716.61 | Open trades: 2 | Unrealized PnL: $0.22
[2025-08-11T10:58:58.379345] Balance: $716.61 | Open trades: 2 | Unrealized PnL: $0.22
[2025-08-11T10:59:31.622700] Balance: $716.61 | Open trades: 2 | Unrealized PnL: $1.39
